,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Halsted St & 37th St,0,1,0,0,0,1,1,1,6,12,1,2,7,6,6,7,5,1,8,3,2,0,0,1
Halsted St & 69th St,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0
Halsted St & 73rd St,0,0,0,0,3,0,3,2,1,0,3,2,0,0,1,0,0,0,0,1,1,0,0,1
Halsted St & 78th St,0,0,0,0,0,0,0,0,0,2,0,1,0,3,0,2,2,1,3,7,2,0,0,0
Halsted St & 96th St,0,0,0,0,0,0,0,1,0,3,3,2,1,0,0,0,2,2,0,2,1,1,0,2
Halsted St & Archer Ave,9,5,3,0,2,0,3,3,6,4,9,4,12,15,21,19,25,22,14,11,10,11,14,9
Halsted St & Clybourn Ave,42,10,6,3,7,7,27,55,83,58,85,93,114,128,124,142,173,235,223,157,114,126,87,47
Halsted St & Roscoe St,69,64,33,14,19,18,30,62,47,59,77,126,125,124,121,143,204,221,204,192,105,116,121,81
Halsted St & Willow St,67,7,7,2,2,7,21,42,48,35,47,75,66,76,72,87,96,139,138,95,60,63,51,43
Halsted St & Wrightwood Ave,54,45,22,10,5,19,46,87,58,49,83,93,102,118,83,106,163,253,205,170,142,94,104,80
Hamilton Ave & 95th St,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Hamlin Ave & 62nd Pl,0,0,0,0,0,0,0,0,0,0,1,2,1,5,0,1,0,0,0,0,1,1,0,0
Humboldt Blvd & Armitage Ave,4,3,3,1,1,0,7,21,33,14,31,36,35,34,38,39,55,59,55,49,34,30,28,10
Hyde Park Blvd & 53rd St,0,1,0,0,0,0,0,0,0,0,2,1,1,3,0,0,4,2,3,1,0,1,0,0
Hyde Park Blvd & 55th St,0,0,0,0,0,0,0,2,1,1,1,1,0,0,3,3,1,1,1,1,3,4,0,0
Indiana Ave & 133rd St,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0
Indiana Ave & 26th St,0,5,1,1,0,0,15,16,10,8,7,11,10,17,12,15,30,26,19,10,8,5,0,3
Indiana Ave & 31st St,2,7,3,0,0,5,1,9,22,15,18,13,21,26,12,19,46,24,34,34,19,2,10,1
Indiana Ave & 40th St,1,0,0,0,0,1,0,0,3,2,0,1,1,1,1,3,0,4,4,5,1,1,1,1
Indiana Ave & Roosevelt Rd,47,11,10,6,14,72,71,132,192,129,103,133,117,168,160,198,236,373,259,219,158,85,68,106
Kedzie Ave & 52nd St,0,1,0,1,0,1,2,1,0,0,0,1,2,2,1,0,1,3,0,0,0,1,0,0
Kedzie Ave & Lake St,1,0,0,0,1,0,0,1,1,0,4,1,1,4,1,2,15,10,4,3,0,4,3,1
Kenneth Ave & 50th St,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,5,1,0,0,0,0
Kilbourn Ave & Irving Park Rd,0,0,0,0,0,1,1,2,1,4,0,3,6,4,4,1,2,2,3,4,4,6,1,3
Kilbourn Ave & Milwaukee Ave,0,0,0,0,0,0,0,1,0,2,3,2,3,0,4,5,4,6,6,2,2,2,0,0
Lafayette Ave & 95th St,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leamington Ave & Hirsch St,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,2,0,0,0,0,0,0
Leavitt St & Armitage Ave,9,7,3,0,1,4,5,14,23,22,27,33,24,24,22,24,33,68,55,53,33,26,15,15
Leavitt St & Belmont Ave,6,4,1,0,0,8,17,25,21,18,18,32,47,24,28,31,40,42,53,38,22,22,26,17
Lincoln Ave & Waveland Ave,2,2,1,0,1,1,17,19,24,16,20,26,36,25,17,37,39,56,43,31,28,10,9,19
