,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Halsted St & 69th St,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0
Halsted St & 73rd St,1,0,0,0,3,1,2,2,0,2,1,1,0,0,0,1,1,2,2,0,0,0,2,0
Halsted St & 78th St,0,0,0,0,3,0,0,1,0,1,2,0,1,3,0,0,2,2,0,6,4,2,0,0
Halsted St & 96th St,0,0,0,0,0,0,0,1,0,1,4,1,0,0,0,0,2,4,0,1,3,1,0,0
Halsted St & Archer Ave,20,1,1,3,1,2,2,7,6,6,4,12,6,8,14,15,10,24,22,7,22,9,7,12
Halsted St & Clybourn Ave,20,6,3,3,3,9,31,47,44,84,89,99,132,125,125,149,176,269,246,184,113,78,40,18
Halsted St & Roscoe St,49,35,19,19,6,13,10,20,47,44,86,112,136,125,144,147,210,297,247,195,113,129,106,87
Halsted St & Willow St,17,18,14,1,5,4,12,46,24,26,37,63,89,133,51,79,119,164,137,94,68,55,41,31
Halsted St & Wrightwood Ave,39,19,10,5,3,6,17,56,46,57,74,81,108,115,108,131,155,263,252,218,140,99,103,62
Hamilton Ave & 95th St,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Hamlin Ave & 62nd Pl,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,1,4,0,0,0,0,0
Humboldt Blvd & Armitage Ave,27,3,4,1,2,0,4,10,5,9,16,20,20,33,39,24,53,84,75,53,54,26,21,29
Hyde Park Blvd & 53rd St,1,0,2,0,0,0,1,3,0,1,1,2,1,1,0,3,0,0,1,1,0,0,0,0
Hyde Park Blvd & 55th St,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,4,0,3,1,1,2,3,1,0
Indiana Ave & 133rd St,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Indiana Ave & 26th St,2,8,5,0,1,0,0,7,17,5,8,3,12,15,12,14,16,30,23,15,17,10,8,6
Indiana Ave & 31st St,7,16,3,1,0,0,5,8,15,6,14,4,15,16,24,10,39,38,22,23,7,10,16,9
Indiana Ave & 40th St,3,0,1,0,0,0,0,2,2,0,2,0,1,1,1,3,0,0,6,0,7,1,0,0
Indiana Ave & Roosevelt Rd,36,27,20,9,5,16,39,27,59,74,95,110,141,179,192,189,262,446,341,279,188,146,128,62
Kedzie Ave & 52nd St,0,0,0,0,1,0,0,0,0,0,0,1,2,0,6,2,0,1,0,1,0,1,0,0
Kedzie Ave & Lake St,1,0,0,1,0,2,0,2,0,3,4,2,1,2,2,3,4,7,3,2,2,8,5,0
Kenneth Ave & 50th St,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,4,1,1,0,0,0
Kilbourn Ave & Irving Park Rd,2,1,1,1,0,0,0,0,1,0,1,2,3,0,3,5,3,3,2,3,5,6,4,2
Kilbourn Ave & Milwaukee Ave,0,3,0,0,0,0,1,3,2,0,2,1,4,3,2,5,3,3,6,1,1,5,5,0
Lafayette Ave & 95th St,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Leamington Ave & Hirsch St,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Leavitt St & Armitage Ave,8,8,5,0,1,3,2,8,7,8,7,23,20,33,17,31,46,56,71,59,28,31,28,27
Leavitt St & Belmont Ave,14,7,5,1,1,0,8,9,15,14,13,18,24,43,16,30,24,51,48,48,34,38,39,18
Lincoln Ave & Waveland Ave,5,6,3,0,0,0,3,8,12,11,32,25,28,36,23,40,43,53,47,42,26,20,20,18
Lincoln Ave & Winona St,5,4,5,1,1,0,2,1,9,7,7,17,8,14,15,20,26,31,28,28,23,14,22,13
Lincoln Park Conservatory,13,21,8,3,2,5,7,30,14,25,77,97,131,165,139,147,133,103,130,99,50,50,56,19
Lincolnwood Dr & Central St,0,0,0,0,0,0,1,0,0,0,0,1,2,6,4,5,5,4,22,4,4,0,2,1
Lockwood Ave & Wrightwood Ave,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,2,1,2,3,1,2,1,1
Loomis Blvd & 84th St,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,2,2,3,0,0,2,2
Loomis St & 89th St,0,1,0,0,0,0,0,0,0,0,1,0,1,1,2,0,1,7,0,0,2,2,1,0
Loomis St & Archer Ave,5,1,5,0,0,2,5,6,3,3,11,9,7,10,19,13,12,27,12,9,11,13,5,8
Loomis St & Jackson Blvd,5,1,5,1,0,0,7,45,18,20,18,23,41,25,36,38,60,104,61,44,30,20,19,12
Loomis St & Lexington St,48,27,7,14,0,2,11,20,30,41,59,80,107,112,110,122,146,187,176,172,145,128,98,47
Malcolm X College Vaccination Site,2,3,0,2,0,0,3,6,6,5,9,7,4,13,8,4,3,2,1,10,9,2,3,5
Manor Ave & Leland Ave,9,4,1,1,0,0,2,8,11,8,13,4,5,8,20,14,26,22,33,17,16,13,2,4
Maplewood Ave & 59th St,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,1,3
Maplewood Ave & Peterson Ave,5,2,3,0,0,0,0,0,2,4,2,3,5,4,5,4,6,6,4,4,5,4,3,3
Marine Dr & Ainslie St,19,10,6,4,3,2,4,19,18,32,24,38,48,88,61,83,66,76,108,78,56,40,23,10
Marquette Ave & 79th St,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Marquette Ave & 89th St,0,0,0,0,0,0,0,2,2,0,3,0,1,1,0,1,0,0,0,0,1,0,0,0
Meade Ave & Diversey Ave,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,3,0,0,1,0,2,0,0,0
Menard Ave & Division St,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,2,0,0,0,0,0
Michigan Ave & 113th St,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Michigan Ave & 71st St,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,4,0,0,0,0,0,0
Michigan Ave & 8th St,43,23,13,18,1,13,23,63,62,68,53,46,87,110,129,177,144,209,152,122,116,82,65,78
Michigan Ave & Jackson Blvd,28,8,17,2,4,6,22,32,62,60,51,51,117,118,123,131,109,132,119,82,44,43,46,53
Michigan Ave & Lake St,43,41,16,8,5,3,83,221,217,131,94,109,139,117,143,166,201,172,148,102,96,86,101,91
Michigan Ave & Oak St,29,31,5,6,6,36,39,82,126,184,231,318,456,425,459,478,519,581,538,362,211,123,85,47
Michigan Ave & Pearson St,18,11,6,4,1,12,50,22,51,70,71,82,79,94,84,65,119,122,96,68,37,27,23,27
Michigan Ave & Washington St,41,26,3,11,5,6,63,165,236,119,152,160,167,143,174,268,238,241,200,132,89,74,91,48
Mies van der Rohe Way & Chicago Ave,10,3,3,4,3,58,151,144,97,62,65,88,104,102,90,94,98,144,140,53,41,31,10,21
Milwaukee Ave & Grand Ave,40,18,10,4,1,2,21,45,71,45,57,72,69,91,73,88,123,159,141,116,99,53,68,29
Morgan St & 18th St,22,6,8,3,3,2,6,5,8,14,16,25,27,40,42,40,77,91,110,74,43,38,31,33
Morgan St & 31st St,11,9,5,4,1,0,0,10,5,12,7,10,18,13,25,30,37,63,53,37,31,16,12,16
Morgan St & Pershing Rd,0,0,0,0,3,1,0,1,1,0,2,1,1,3,5,2,3,1,0,0,0,0,0,0
Narragansett & McLean,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Normal Ave & Archer Ave,6,0,1,0,2,0,7,13,10,2,2,3,2,11,7,7,12,10,3,9,6,9,4,5
Oak Park & Wellington,0,0,0,0,0,0,0,3,0,0,2,1,2,0,0,2,7,4,6,3,1,7,0,0
Oakley Ave & Irving Park Rd,6,9,0,2,1,0,2,2,7,9,12,10,12,11,18,20,28,17,23,29,13,9,24,22
Ogden Ave & Chicago Ave,32,9,5,4,10,3,11,29,53,47,46,47,56,53,58,62,100,123,100,84,82,63,50,31
Panama Ave & Grace St,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0
Parkside Ave & Armitage Ave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paulina St & 18th St,12,10,2,4,5,0,5,23,16,19,21,36,36,24,26,41,39,67,34,46,34,16,17,20
Paulina St & Flournoy St,0,0,0,0,4,72,242,161,76,46,20,21,36,26,22,32,38,14,32,14,5,7,6,3
Paulina St & Howard St,0,1,1,1,11,5,8,18,14,10,10,8,14,14,20,28,23,21,12,4,5,7,3,6
Paulina St & Montrose Ave,8,4,3,1,0,2,4,5,12,20,6,14,23,22,19,21,45,45,49,37,28,17,26,14
Peoria St & Jackson Blvd,36,16,7,10,5,0,14,39,74,68,62,61,113,91,73,80,125,170,128,110,105,65,70,38
Perry Ave & 108th Pl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Perry Ave & 69th St,0,0,0,0,0,0,1,0,0,0,1,2,1,0,2,1,0,2,0,0,4,1,0,0
Phillips Ave & 79th St,1,0,0,2,0,1,0,0,0,2,1,0,1,1,0,2,4,2,2,2,2,5,2,1
Pine Grove Ave & Irving Park Rd,20,20,31,6,11,4,5,20,19,46,40,63,66,96,134,97,137,205,187,139,121,97,58,41
Pine Grove Ave & Waveland Ave,46,27,8,8,5,14,37,46,50,77,83,91,150,120,110,125,161,228,203,156,116,94,63,63
Plainfield & Irving Park,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
Princeton Ave & Garfield Blvd,0,1,2,0,3,0,0,1,1,2,1,2,1,2,2,1,7,2,14,0,0,1,1,0
Pulaski & 52nd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,0,0,0,0,0,0
Pulaski Rd & 21st St,0,0,0,0,0,0,1,0,1,0,0,0,0,11,2,1,2,2,0,0,0,2,1,0
Pulaski Rd & Eddy St (Temp),0,1,1,0,0,0,0,1,2,2,1,0,1,4,2,5,5,7,8,13,4,2,2,7
Racine Ave & 109th Pl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
